id_venta,fecha,pais,ciudad,categoria,producto,cantidad,precio_unitario,canal
1,2024-12-03,Costa Rica,San Jose,Electronica,Bocina,1,829.48,web
2,2024-06-03,Panama,Ciudad de Panama,Hogar,Cafetera,2,734.02,web
3,2024-10-29,El Salvador,San Salvador,Ropa,Pantalon,4,294.73,web
4,2024-10-07,Guatemala,Ciudad de Guatemala,Alimentos,Chocolate,2,49.07,app
5,2024-12-05,Costa Rica,San Jose,Ropa,Camisa,1,194.88,app
6,2024-09-16,Panama,Ciudad de Panama,Hogar,Licuadora,1,460.76,web
7,2024-08-10,Costa Rica,San Jose,Ropa,Camisa,1,182.58,tienda
8,2024-11-29,Costa Rica,San Jose,Ropa,Zapatos,1,506.50,app
9,2024-05-14,Costa Rica,San Jose,Deportes,Balon,1,158.26,web
10,2024-04-11,El Salvador,Santa Ana,Hogar,Cafetera,3,611.57,web
11,2024-07-27,Costa Rica,San Jose,Alimentos,Cafe,1,87.78,tienda
12,2024-08-26,Costa Rica,Alajuela,Electronica,Bocina,2,924.75,app
13,2024-08-04,Mexico,Guadalajara,Deportes,Bicicleta,2,3712.38,app
14,2024-01-24,Panama,Ciudad de Panama,Electronica,Bocina,2,891.44,web
15,2024-12-24,Costa Rica,Alajuela,Deportes,Balon,4,140.63,web
16,2024-10-25,El Salvador,San Miguel,Deportes,Mancuernas,4,288.65,tienda
17,2024-09-07,El Salvador,San Salvador,Electronica,Telefono,1,4131.69,web
18,2024-04-14,Costa Rica,San Jose,Electronica,Bocina,1,972.88,web
19,2024-09-04,Panama,Ciudad de Panama,Electronica,Tablet,4,2618.91,app
20,2024-06-28,Panama,Ciudad de Panama,Electronica,Bocina,2,929.42,web
21,2024-08-16,Costa Rica,Alajuela,Deportes,Bicicleta,1,3906.87,app
22,2024-10-30,El Salvador,Santa Ana,Alimentos,Chocolate,2,42.30,app
23,2024-09-08,El Salvador,Santa Ana,Hogar,Lampara,2,221.58,web
24,2024-11-07,El Salvador,San Miguel,Ropa,Camisa,1,168.93,app
25,2024-05-05,Panama,Ciudad de Panama,Hogar,Lampara,2,214.49,tienda
26,2024-01-08,Mexico,Monterrey,Hogar,Licuadora,4,464.03,app
27,2024-04-16,Panama,Ciudad de Panama,Hogar,Lampara,3,217.04,web
28,2024-10-21,Panama,Ciudad de Panama,Deportes,Bicicleta,2,4314.09,web
29,2024-11-21,Costa Rica,Alajuela,Electronica,Telefono,2,4603.89,app
30,2024-12-17,Costa Rica,San Jose,Alimentos,Cafe,3,100.86,tienda
31,2024-09-06,Panama,Ciudad de Panama,Deportes,Mancuernas,1,308.78,web
32,2024-11-25,Panama,Ciudad de Panama,Ropa,Camisa,1,174.83,tienda
33,2024-02-27,El Salvador,Santa Ana,Alimentos,Cafe,2,105.13,tienda
34,2024-11-18,Costa Rica,Alajuela,Electronica,Audifonos,1,383.65,web
35,2024-10-28,Costa Rica,Alajuela,Hogar,Lampara,3,212.54,app
36,2024-05-07,Panama,Ciudad de Panama,Ropa,Camisa,1,191.37,app
37,2024-10-03,El Salvador,Santa Ana,Hogar,Cafetera,2,589.42,web
38,2024-07-14,Panama,Ciudad de Panama,Ropa,Zapatos,3,469.45,app
39,2024-05-07,Costa Rica,Alajuela,Ropa,Zapatos,1,475.48,web
